Major,Courses,
"Geophysics BS","Required: Earth, Planetary, and Space Sciences 51, 61, 71, and one course from 1 (preferred) through 15; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, 1C, 4AL, 4BL. Each course must be passed with a minimum grade of C−.Required Core: Earth, Planetary, and Space Sciences 136A, M140, 171, one capstone field research course (136C), one course from 152, 153, 154, 155; Physics 105A, 105B, 110A, 110B, 131. Substitutions of equivalent courses from engineering or other physical sciences departments must be approved by the undergraduate adviser.",
"Earth and Environmental Science BA","Required: Earth, Planetary, and Space Sciences 1, 5 or 8 or 13 or 15 or 16 or 17 or 20, 51, 61; Chemistry and Biochemistry 14A, 14B, and 14BL, or 20A, 20B, and 20L; Life Sciences 1 or another introductory organismic biology course; Mathematics 3A and 3B, or 31A and 31B; Physics 1A or 5A. Each course must be passed with a minimum grade of C−.Required: Three courses from Earth, Planetary, and Space Sciences 103A, 103B, 111, 112, 116, 119; one capstone 199 research course in the senior year; three additional upper-division courses from Earth, Planetary, and Space Sciences other than 100; two courses from Geography 100, 101, 104, 105 and 105A, M107, M109, 110, 124, 125, M127, M131.",
"Engineering Geology BS","Required: Earth, Planetary, and Space Sciences 1, 51, 61; Chemistry and Biochemistry 20A, 20B, 20L; Civil and Environmental Engineering M20; Mathematics 31A, 31B, 32A, 33A; Physics 1A, 1B, 1C, 4AL, 4BL. Recommended: Mathematics 32B. Each course must be passed with a minimum grade of C−.Required: Earth, Planetary, and Space Sciences 103A, 103B, 111, 112, 136A, 139; Civil and Environmental Engineering 108, 120, 121, 150; two capstone field research courses (Earth, Planetary, and Space Sciences 121, 121F).",
"Geology BS","Required: Earth, Planetary, and Space Sciences 1, 51, 61, 71; Chemistry and Biochemistry 14A, 14B, and 14BL, or 20A, 20B, and 20L; Life Sciences 1; Mathematics 3A, 3B, and 3C, or 31A, 31B, and 32A; Physics 1A, 1B, 4AL, and 4BL, or 5A and 5B. Each course must be passed with a minimum grade of C−.Required: Earth, Planetary, and Space Sciences 103A, 103B, 111, 112, M118 (or 136A); two courses from 103C, 116, and 133; two capstone field research courses (121, 121F); two additional 100-level department courses.",
"Geophysics BS","Required: Earth, Planetary, and Space Sciences 51, 61, 71, and one course from 1 (preferred) through 15; Mathematics 31A, 31B, 32A, 32B, 33A, 33B; Physics 1A, 1B, 1C, 4AL, 4BL. Each course must be passed with a minimum grade of C−.Required Core: Earth, Planetary, and Space Sciences 136A, M140, 171, one capstone field research course (136C), one course from 152, 153, 154, 155; Physics 105A, 105B, 110A, 110B, 131. Substitutions of equivalent courses from engineering or other physical sciences departments must be approved by the undergraduate adviser.",
"Geography BA","Required: Three courses (15 units) as follows: Geography 1 or 2, 3 or 4 or 6, and Statistics 12. Each course must be taken for a letter grade.Required: Eleven upper-division geography courses (44 units minimum), each taken for a letter grade. All geography upper-division courses numbered 100 and higher may be applied toward the major, with a few exceptions. Contact the advising office for more information.",
"Geography/Environmental Studies BA","Required: Geography 1 or 2, 3 or 4 or 6, 5, and Statistics 12. Each course must be taken for a letter grade. Students are strongly advised to complete all preparation for the major courses before beginning upper-division work in the major.Required: Eleven upper-division geography courses, each taken for a letter grade, that must be distributed as follows: (1) environmental studies and natural systems core — six courses from 100, 101, 102, 104, 105, M106, M107, 108, M109, 110, 111, 112, 113, 114, M115, 116, M117, 122, 123, 124, 125, 126, M127, M128, 129, M131, 132, 135, M137, 159C, 159D, 159E; (2) human systems core — two courses from 118, 133, 138, 140, 141, 142, 143, 144, 145, M146, 147, 148, M149, 150, 151, M153, 155, 159A, 159B; (3) procedures — two courses from 162, 163, 166, 167, 168, 169, 170, M171, 172, 173, 174, 177; and (4) regions — one course from 119, 139, 145, 152, 156, 158, 180, 181, 182A, 182B, 183, 184, 185, or 186. Each course must be taken for a letter grade.",
"Geography/Environmental Studies BA","Required: Geography 1 or 2, 3 or 4 or 6, 5, and Statistics 12. Each course must be taken for a letter grade. Students are strongly advised to complete all preparation for the major courses before beginning upper-division work in the major.Required: Eleven upper-division geography courses, each taken for a letter grade, that must be distributed as follows: (1) environmental studies and natural systems core — six courses from 100, 101, 102, 104, 105, M106, M107, 108, M109, 110, 111, 112, 113, 114, M115, 116, M117, 122, 123, 124, 125, 126, M127, M128, 129, M131, 132, 135, M137, 159C, 159D, 159E; (2) human systems core — two courses from 118, 133, 138, 140, 141, 142, 143, 144, 145, M146, 147, 148, M149, 150, 151, M153, 155, 159A, 159B; (3) procedures — two courses from 162, 163, 166, 167, 168, 169, 170, M171, 172, 173, 174, 177; and (4) regions — one course from 119, 139, 145, 152, 156, 158, 180, 181, 182A, 182B, 183, 184, 185, or 186. Each course must be taken for a letter grade.",
"German BA","Required: German 1, 2, 3, 4, 5, 6, or equivalent. Students who have completed one year of college-level German language courses should enroll in course 4. Students who are in doubt as to their level of language proficiency or who are native speakers should consult with the language program supervisor.Required: Six upper-division German courses, three upper-division elective courses in fields relevant to Germanic languages to be selected in consultation with the director of undergraduate studies, and German 191C. Each course must be taken for a letter grade.Required: German 140, 141, or C142; 152; 153 or 158; 191C; and six upper-division German courses, two of which may be from outside the department with approval of the director of undergraduate studies. Each course must be taken for a letter grade.Required: German 140, 141, C142, 152, 153, 191C, one upper-division elective course in the department, and three upper-division elective courses in fields relevant to Germanic languages to be selected in consultation with the director of undergraduate studies.",
"German BA","Required: German 1, 2, 3, 4, 5, 6, or equivalent. Students who have completed one year of college-level German language courses should enroll in course 4. Students who are in doubt as to their level of language proficiency or who are native speakers should consult with the language program supervisor.Required: Six upper-division German courses, three upper-division elective courses in fields relevant to Germanic languages to be selected in consultation with the director of undergraduate studies, and German 191C. Each course must be taken for a letter grade.Required: German 140, 141, or C142; 152; 153 or 158; 191C; and six upper-division German courses, two of which may be from outside the department with approval of the director of undergraduate studies. Each course must be taken for a letter grade.Required: German 140, 141, C142, 152, 153, 191C, one upper-division elective course in the department, and three upper-division elective courses in fields relevant to Germanic languages to be selected in consultation with the director of undergraduate studies.",
"Global Jazz Studies BA","Required: Ethnomusicology 20B or 20C (5 units), 4 units from 91E and/or 91P, 4 units from 68A though 68O and/or 91A through 91Z (except 91E and 91P); Global Jazz Studies M12A, M12B (10 units), 12 units from 71A through 71I (students must enroll in a studio each quarter); Music M6A, M6B, M6C (6 units). Each course must be completed with a grade of C or better.Required: 72 units from the areas below. Each course must be taken for a letter grade and be completed with a grade of C or better. Students must have an overall grade-point average of 2.0 or better. No more than eight units from upper-division tutorials (195-199) may be applied toward the degree.",
"Global Studies BA","Required: Global Studies 1 with a grade of B or better; one methods course selected from Political Science 6, 6R, 30, Statistics 10, 12, or 13; demonstrated proficiency equivalent to level 6 at UCLA in one modern foreign language; and five additional courses as follows: (1) one culture and society course selected from Anthropology 3, 4, Comparative Literature 1C or 2CW, 1D or 2DW, 4CW or 4DW, Ethnomusicology 25, Gender Studies 10, Geography 3, 6, History 2B, World Arts and Cultures 20, or 33, (2) one governance and conflict course selected from History 10B, 22, Political Science 10, 20, 50, 50R, or Sociology 1, and (3) one markets and resources course selected from Economics 1, 2, Environment 12, Clusters M1A, or Sociology 51. The remaining two courses, taken from two separate categories, may be selected from the three lists above. One course from the following list may be applied toward the culture and society category: Asian 70C, Asian American Studies 10, Chicana and Chicano Studies 10B, French 14, 14W, History 8A, 9E, International and Area Studies 31, 33, 50, Italian 42A, 42B, 46, Middle Eastern Studies 50C, Russian 90A, 90B, 90BW, Spanish 42, or 44. A minimum grade-point average of 3.25 is required in these courses.Required: Global Studies 100A, 100B, and seven elective courses, with at least two from each of the following categories and at least three in one category: (1) culture and society — Anthropology 146, M148, Asian American Studies M130C, 170, M172A, M172C, Chicana and Chicano Studies 120, 143, CM147, Comparative Literature 100, M148, English 130, 131, 133, 134, French 121, 142, Film and Television 106C, 112, Gender Studies 102, M147C, M162, Geography 133, 138, 139, 141, Political Science M184A, Religion M107, Southeast Asian 157, Society and Genetics 134, Sociology 151, 152, 154, M162, 191F; (2) governance and conflict — Asian American Studies 171A, M171D, 171E, Chicana and Chicano Studies 151, Environment M132, Geography M109, 140, History 121E, 121F, 144, M186A, Honors Collegium 125, Political Science 120A, 120B, 121A, 122A, M122B, 123A, 123B, 125A, 126, 128A, 132A, M132B, 135, 137A, 138B, 169, Sociology 182; (3) markets and resources — Anthropology 143, Chicana and Chicano Studies M125, 176, Economics 121, 122, Environment 134, Geography M128, 148, History 131A, 134C, International Development Studies M120, Political Science 124A, 151B, M167C, 167D, Spanish 135, Sociology 183.",
